GISJOIN,YEAR,STATE,STATEA,COUNTY,full_name,AREANAME,total_population
G0100010,1870,Alabama,10,Autauga,AUTAUGA,Autauga,11623
G0100015,1870,Alabama,10,Baker,BAKER,Baker,6194
G0100030,1870,Alabama,10,Baldwin,BALDWIN,Baldwin,6004
G0100050,1870,Alabama,10,Barbour,BARBOUR,Barbour,29309
G0100070,1870,Alabama,10,Bibb,BIBB,Bibb,7469
G0100090,1870,Alabama,10,Blount,BLOUNT,Blount,9945
G0100110,1870,Alabama,10,Bullock,BULLOCK,Bullock,24474
G0100130,1870,Alabama,10,Butler,BUTLER,Butler,14981
G0100150,1870,Alabama,10,Calhoun,CALHOUN,Calhoun,13980
G0100170,1870,Alabama,10,Chambers,CHAMBERS,Chambers,17562
G0100190,1870,Alabama,10,Cherokee,CHEROKEE,Cherokee,11132
G0100230,1870,Alabama,10,Choctaw,CHOCTAW,Choctaw,12676
G0100250,1870,Alabama,10,Clarke,CLARKE,Clarke,14663
G0100270,1870,Alabama,10,Clay,CLAY,Clay,9560
G0100290,1870,Alabama,10,Cleburne,CLEBURNE,Cleburne,8017
G0100310,1870,Alabama,10,Coffee,COFFEE,Coffee,6171
G0100330,1870,Alabama,10,Colbert,COLBERT,Colbert,12537
G0100350,1870,Alabama,10,Conecuh,CONECUH,Conecuh,9574
G0100370,1870,Alabama,10,Coosa,COOSA,Coosa,11945
G0100390,1870,Alabama,10,Covington,COVINGTON,Covington,4868
G0100410,1870,Alabama,10,Crenshaw,CRENSHAW,Crenshaw,11156
G0100450,1870,Alabama,10,Dale,DALE,Dale,11325
G0100470,1870,Alabama,10,Dallas,DALLAS,Dallas,40705
G0100490,1870,Alabama,10,DeKalb,DEKALB,Dekalb,7126
G0100510,1870,Alabama,10,Elmore,ELMORE,Elmore,14477
G0100530,1870,Alabama,10,Escambia,ESCAMBIA,Escambia,4041
G0100550,1870,Alabama,10,Etowah,ETOWAH,Etowah,10109
G0100570,1870,Alabama,10,Fayette,FAYETTE,Fayette,7136
G0100590,1870,Alabama,10,Franklin,FRANKLIN,Franklin,8006
